playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
1247,Adam Ottavino,NYM,2,2,1,60,0,56,11.2500023,3.696429327,0.964285911,0.309352518,0.7082153,0.433566433,0.1,4.339286601,3.19,3.66647988,3.893631791,0.457903206,0.10069791,93.21128558,2.544175614,0.110668,87.85364759,-2.938132796,0.33599202,92.30176651,3.260813426,0.05084746,87.49235983,-0.835847493,0.39680957,79.20868993,-1.220795885,0.00498504,77.57615967,-0.323109709,,,,,,,,,,,,,,71.148,,73.93863636,100.3837349,116.2175573,,83.92,,103.5111223,99.79787664,100.9784631,,Adam Ottavino,RP,S,R,NYM,39,13.087,0.457903206,0.226590648,,0,,,,,,
1890,Matt Moore,LAA,5,3,1,51,0,48.1,7.634484165,4.841380202,2.048276239,0.215384615,0.69767442,0.294117647,0.152777777,5.027587133,4.25,6.166480331,5.460230654,-0.740457654,0.50117647,92.98176166,4.314016346,0.00705882,88.70566813,-1.987260312,,,,0.31529412,83.01421846,-4.85016476,,,,0.17647059,82.34133464,-0.530906789,,,,,,,,,,,,,,152.4533582,,82.00492958,,,115.4053333,,,110.2327869,93.33618267,93.69555035,,Matt Moore,RP,L,L,LAA,36,12,-0.740457654,0.012690166,,0,,,,,,
2036,Clayton Kershaw,LAD,2,2,0,7,7,30,7.200000458,2.700000172,0.600000038,0.354166667,0.63348416,0.385416666,0.06060606,4.500000286,4.59,3.533146468,4.329689099,0.639490306,0.35515873,89.80517851,-5.146854676,,,,0.00595238,90.10229492,-0.073182333,,,,0.43253968,85.82804437,0.279187746,0.16071429,71.94710889,0.615077037,,,,0.04563492,83.47537895,-0.170077886,,,,,,,,57.68181818,114.0292683,90.1480226,,107.8318182,,,61.18571429,100.5507937,100.3799603,99.53968254,,Clayton Kershaw,SP,L,L,LAD,37,16.105,0.639490306,1.776574492,,0,,,,,,
2520,Lance Lynn,STL,7,4,0,23,23,117.1,8.360795817,3.375000146,1.22727278,0.286982249,0.6998557,0.362857142,0.111111111,3.835227439,4.94,4.308525282,4.391444694,1.332106352,0.46395292,92.49589555,7.373009771,0.22167729,88.45667692,-3.762686271,0.17459539,91.39978713,0.009598069,0.06228543,84.97081078,-3.081515357,0.01569397,82.37424469,-0.981053229,0.061795,80.60325211,-3.325683597,,,,,,,,,,,,,,60.5295082,111.82,85.16623517,66.41067073,102.1705882,,91.06215596,,82.58126919,99.53357216,94.31683726,,Lance Lynn,SP,S,R,STL,38,13.119,1.332106352,1.5754565,1,8000000,8000000,,,,,
3096,Kenley Jansen,BOS,4,2,27,54,0,54.2,10.20731755,3.29268308,0.658536616,0.259541985,0.73033708,0.305970149,0.055555555,3.29268308,3.24,3.001845624,4.042051866,1.421049714,,,,0.84269663,92.36525463,6.291853838,0.07990012,93.32374573,0.378499553,,,,0.07740325,82.24559759,2.640845228,,,,,,,,,,,,,,,,,,,,99.62631579,111.4283333,,123.4360182,,120.7908505,105.2306701,110.4123711,,Kenley Jansen,RP,S,R,BOS,37,14.073,1.421049714,0.440925241,1,12000000,12000000,,,,,
3137,Max Scherzer,TEX,2,4,0,9,9,43.1,8.307692551,2.076923138,1.453846197,0.277310924,0.75242718,0.319672131,0.125,3.946153962,3.86,4.181864423,4.035844513,0.622989535,0.43946188,92.62486713,0.18763281,0.05530643,86.65734533,1.91819283,,,,0.13901345,82.97093939,-1.826993886,0.22720478,85.16890676,1.052869856,0.13901345,74.8156082,-1.994813018,,,,,,,,,,,,,,59.40645161,83.74946237,78.07959184,,100.3486486,,120.6097561,,83.78293413,106.3046407,102.5685629,,Max Scherzer,SP,R,R,TEX,40,16.079,0.622989535,2.096468449,1,18000000,18000000,,,,,
3237,T.J. McFarland,OAK,2,4,0,79,0,56.2,6.194120427,2.700001212,0.635294403,0.286549708,0.67251462,0.573099415,0.1,3.811766417,3.36,3.819421248,3.969074308,0.339210004,,,,0.00119617,82.41190338,0.05477396,0.49162679,88.28134504,4.394925866,0.12320574,81.63213934,-1.045802377,0.38397129,78.45849153,3.103445087,,,,,,,,,,,,,,,,,80.1754902,,-22.9,39.564,92.14455128,,61.9,,64.31731707,100.8943902,102.1381707,,T.J. McFarland,RP,L,L,ATH,36,9.05,0.339210004,-0.034687877,,0,,,ATH,1,1800000,1800000
4301,Justin Wilson,CIN,1,5,2,60,0,46.2,9.83571643,2.507143404,1.928571849,0.338345865,0.71428571,0.382978723,0.158730158,5.592858362,4.25,4.730765834,3.986262734,0.150765941,0.49019608,95.62091797,-9.06703376,0.25857843,92.32090492,3.07543692,,,,0.01102941,87.11484104,0.171237469,0.23284314,88.48987459,-2.030091651,0.00735294,86.43392944,0.047067352,,,,,,,,,,,,,,,,101.0383663,,131.8444444,,85.00816327,44.6875,104.2102941,103.7161765,103.8840686,,Justin Wilson,RP,L,L,CIN,37,12.035,0.150765941,0.501179278,,0,,,BOS,1,2250000,2250000
4676,Charlie Morton,ATL,8,10,0,30,30,165.1,9.090726086,3.53830656,1.252016168,0.306074766,0.7421875,0.46325167,0.157534246,4.191532387,4.49,4.460834657,3.987567872,1.102370381,0.27803655,94.27962911,-10.95091292,,,,0.10927983,93.67095927,0.818494257,0.10999642,85.08504046,-4.202682197,0.07954138,88.56147065,-1.84377664,0.42314583,81.62908155,9.374554724,,,,,,,,,,,,,,86.27003257,121.7071006,71.75186104,79.00471014,,,72.69315068,,95.3686626,97.5048763,97.43571172,,Charlie Morton,SP,R,R,ATL,41,16.01,1.102370381,1.35767889,1,14000000,14000000,,BAL,1,15000000,15000000
5003,Jake Diekman,NYM,2,3,4,43,0,32,11.25000469,6.750002816,1.968750821,0.228571429,0.65533981,0.447368421,0.291666666,5.625002347,5.11,6.135231017,4.425486608,-0.810649812,0.61403509,94.74897524,-1.664853338,,,,,,,0.09728868,87.27380571,-3.608916767,0.28867624,82.90437241,0.461254675,,,,,,,,,,,,,,,,,82.21754386,,139.1340599,85.5,119.9107143,,,,129.0423077,90.74765886,96.2041806,,Jake Diekman,RP,R,L,NYM,38,12.007,-0.810649812,0.030753957,,0,,,,,,
5448,Jesse Chavez,ATL,2,2,0,46,0,63.1,7.815790572,2.700000379,1.421052831,0.279329609,0.8030303,0.430851063,0.158730158,3.126316229,4.25,4.429637851,3.881056662,-0.202841282,,,,0.5105364,88.96704972,4.109491363,0.27011494,90.87466063,-1.997472372,0.13314176,85.2943247,0.956750333,0.01628352,81.34650735,-2.267539065,0.06992337,75.82159006,0.248290576,,,,,,,,,,,,,,64.95182482,87.77916667,,89.58115942,107.35,,84.48604651,,83.82792527,102.2113078,95.9152409,,Jesse Chavez,RP,R,R,ATL,41,14.038,-0.202841282,0.019203331,,0,,,,,,
